id_x,host_id,host_response_rate,host_is_superhost,host_listings_count,accommodates,bathrooms,bedrooms,beds,price,avg_rating,number_of_reviews,neighbourhood_cleansed,property_type,neighbourhood_cleansed_freq,property_type_freq
559456660221723299,162402361,0.97,1,84.0,4.0,2.0,3.0,4.0,262.0,5.0,4,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
563858234078624358,13270845,1.0,1,3.0,6.0,1.5,4.0,4.0,654.0,4.924285714285714,5329,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
565844146373269571,166985304,1.0,0,1.0,7.0,2.5,4.0,4.0,241.0,4.9142857142857155,100,South Dublin,Entire home,0.06117504542701393,0.18655360387643852
567138696352738567,81251601,1.0,0,2.0,8.0,2.5,4.0,6.0,347.0,4.732857142857143,784,Dn Laoghaire-Rathdown,Entire home,0.13506965475469412,0.18655360387643852
569574740244657999,21349059,1.0,1,1.0,1.0,1.0,1.0,1.0,71.0,4.814285714285715,26244,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
571771563283545111,9871514,1.0,1,2.0,2.0,1.0,1.0,1.0,122.0,4.859999999999999,52441,Dublin City,Entire guesthouse,0.6807995154451847,0.013325257419745608
572845762039185221,447343700,1.0,1,4.0,2.0,1.5,1.0,1.0,98.0,4.925714285714286,1936,Fingal,Private room in condo,0.12295578437310721,0.04784978800726832
572866189892204764,447343700,1.0,1,4.0,2.0,1.5,1.0,1.0,108.0,4.93,5625,Fingal,Private room in condo,0.12295578437310721,0.04784978800726832
573632757359424383,219302538,1.0,1,4.0,5.0,1.5,3.0,4.0,216.0,4.897142857142858,1444,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
574502949806106070,26891714,1.0,1,1.0,1.0,1.5,1.0,1.0,70.0,4.815714285714286,2209,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
574516553742409628,447722846,1.0,0,1.0,6.0,1.5,3.0,3.0,1093.0,4.935714285714285,121,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
574678373239336958,447343700,1.0,1,4.0,2.0,1.0,1.0,1.0,138.0,4.934285714285715,169,Fingal,Private room in condo,0.12295578437310721,0.04784978800726832
576061694950229906,8482441,1.0,1,2.0,2.0,1.0,1.0,1.0,105.0,4.8999999999999995,1849,Dn Laoghaire-Rathdown,Private room in home,0.13506965475469412,0.20714718352513628
577373847707380757,431628123,1.0,1,3.0,2.0,1.0,1.0,1.0,82.0,4.808571428571428,9604,Dublin City,Private room in rental unit,0.6807995154451847,0.04118715929739552
582212284093809849,269764936,1.0,1,4.0,4.0,2.0,2.0,3.0,283.0,4.688571428571429,31684,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
582355977348421691,91692766,0.92,0,5.0,4.0,1.0,1.0,1.0,146.0,4.771428571428571,6889,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
584077038869694639,392463939,0.89,0,1.0,6.0,1.5,3.0,3.0,325.0,4.234285714285714,196,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
586756235881280147,450411905,0.7,0,1.0,2.0,1.5,1.0,1.0,108.0,4.892857142857143,8649,Dublin City,Private room in condo,0.6807995154451847,0.04784978800726832
587370909486126217,414459932,1.0,1,1.0,4.0,1.0,2.0,3.0,318.0,4.937142857142857,13225,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
589520908758367784,131964357,0.75,0,1.0,3.0,1.0,0.0,2.0,196.0,4.89,4624,Dn Laoghaire-Rathdown,Entire guesthouse,0.13506965475469412,0.013325257419745608
589834734500345920,101422348,1.0,1,3.0,2.0,1.0,1.0,1.0,94.0,4.895714285714286,529,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
590575300515474946,14097334,1.0,1,2.0,4.0,1.0,1.0,1.0,130.0,4.711428571428571,2916,Dublin City,Private room in condo,0.6807995154451847,0.04784978800726832
591900827264305586,79005535,1.0,1,3.0,1.0,1.0,1.0,1.0,80.0,4.910000000000001,2809,Dublin City,Private room in loft,0.6807995154451847,0.0012113870381586917
594177564537529326,30365167,1.0,0,1.0,4.0,2.0,2.0,2.0,253.0,4.797142857142858,2916,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
596793197470176923,39417717,1.0,1,1.0,2.0,1.0,1.0,1.0,215.0,4.985714285714287,4096,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
598881060323259301,38622508,0.8,1,2.0,4.0,2.0,2.0,2.0,344.0,4.897142857142858,289,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
600795367837716230,133060667,1.0,1,1.0,2.0,1.0,0.0,1.0,68.0,4.752857142857143,17689,South Dublin,Entire guesthouse,0.06117504542701393,0.013325257419745608
601830393275580130,67178061,1.0,0,1.0,4.0,1.0,2.0,6.0,225.0,4.8414285714285725,3025,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
603300035892224065,110926409,1.0,1,1.0,3.0,1.5,2.0,2.0,324.0,4.815714285714286,576,Dublin City,Entire townhouse,0.6807995154451847,0.03210175651120533
604189181032499768,450732525,1.0,0,7.0,6.0,1.0,2.0,3.0,253.0,4.545714285714285,19044,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
610922341577535754,104813896,0.75,0,1.0,2.0,1.0,1.0,1.0,59.0,4.909999999999999,196,South Dublin,Private room in condo,0.06117504542701393,0.04784978800726832
615820499588877028,162402361,0.97,1,84.0,4.0,2.0,2.0,2.0,162.0,4.811428571428571,9,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
615820762828647256,162402361,0.97,1,84.0,4.0,2.0,2.0,2.0,162.0,4.928571428571429,4,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
616489783607342296,162402361,0.97,1,84.0,4.0,2.0,2.0,2.0,162.0,4.667142857142857,9,Dn Laoghaire-Rathdown,Entire rental unit,0.13506965475469412,0.21562689279224712
616497624417221439,456776147,1.0,1,6.0,2.0,1.0,1.0,1.0,138.0,4.9557142857142855,676,Dublin City,Entire guest suite,0.6807995154451847,0.01756511205330103
618825758204877353,59238603,1.0,1,1.0,4.0,2.0,2.0,2.0,290.0,4.881428571428572,1600,South Dublin,Entire condo,0.06117504542701393,0.08661417322834646
621262539646821427,457785764,1.0,0,1.0,1.0,1.0,1.0,1.0,37.0,4.214285714285714,144,South Dublin,Private room in home,0.06117504542701393,0.20714718352513628
622232343088480500,194135584,1.0,1,2.0,5.0,1.0,2.0,7.0,522.0,4.845714285714286,2500,Dublin City,Entire rental unit,0.6807995154451847,0.21562689279224712
622316413046072771,173765920,1.0,0,1.0,2.0,1.0,1.0,1.0,131.0,4.918571428571428,49,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
622880212930768940,14919504,1.0,1,1.0,6.0,2.0,3.0,3.0,542.0,4.857142857142857,2209,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
623023782596284102,74264977,0.8,0,4.0,5.0,1.0,3.0,4.0,162.0,4.5285714285714285,169,Dublin City,Entire home,0.6807995154451847,0.18655360387643852
625213467659821870,23103720,1.0,1,1.0,2.0,1.0,1.0,1.0,72.0,4.76,60025,Dublin City,Private room in home,0.6807995154451847,0.20714718352513628
626641385036668816,20109859,1.0,1,2.0,2.0,1.5,1.0,1.0,108.0,4.8185714285714285,15129,Fingal,Entire guesthouse,0.12295578437310721,0.013325257419745608
627607493653004766,59920509,1.0,1,5.0,2.0,1.0,1.0,1.0,126.0,4.902857142857142,361,Dublin City,Entire condo,0.6807995154451847,0.08661417322834646
627645257458775824,310928899,1.0,1,2.0,2.0,1.5,1.0,1.0,103.0,4.854285714285715,15376,Dublin City,Private room in townhouse,0.6807995154451847,0.03331314354936402
